"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C7","3","1uF","Capacitor_SMD:C_1206_3216Metric",""
"2","C3, C5, C6, C8, C11","5","10uF","Capacitor_SMD:C_1206_3216Metric",""
"3","C4","1","100nF","Capacitor_SMD:C_1206_3216Metric",""
"4","C9, C10","2","0.1uF","Capacitor_SMD:C_1206_3216Metric",""
"5","D1","1","PWR","LED_SMD:LED_0805_2012Metric",""
"6","D2","1","D_Schottky","Diode_SMD:D_SOD-323",""
"7","D3","1","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",""
"8","H1, H2, H3, H4","4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad",""
"9","J1","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_JAE_DX07S016JA1R1500",""
"10","J2","1","UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"11","J3","1","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"12","J4","1","LOAD CELL","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"13","J5","1","SSD1306","cat_scale_footprints:128x64OLED",""
"14","J6","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"15","Q2","1","MMBT4403","Package_TO_SOT_SMD:SOT-23",""
"16","R1, R11, R12","3","10k","Resistor_SMD:R_1206_3216Metric",""
"17","R2, R3","2","5k1","Resistor_SMD:R_1206_3216Metric",""
"18","R4","1","680","Resistor_SMD:R_1206_3216Metric",""
"19","R5, R6","2","50","Resistor_SMD:R_1206_3216Metric",""
"20","R7","1","20k","Resistor_SMD:R_1206_3216Metric",""
"21","R8","1","8k2","Resistor_SMD:R_1206_3216Metric",""
"22","R9","1","1k","Resistor_SMD:R_1206_3216Metric",""
"23","R10","1","500","Resistor_SMD:R_1206_3216Metric",""
"24","SW1","1","RST","Button_Switch_SMD:SW_SPST_CK_RS282G05A3",""
"25","SW2","1","BOOT","Button_Switch_SMD:SW_SPST_CK_RS282G05A3",""
"26","SW3","1","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",""
"27","U1","1","ESP32-S2-SOLO-U-N4R2","cat_scale_footprints:XCVR_ESP32-S2-SOLO-U-N4R2",""
"28","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"29","U3","1","HX711","Package_SO:SOP-16_3.9x9.9mm_P1.27mm",""
